Number of Boat in list,Year,Model,Area Code,Phone Number,Price
1160,1978,1978 O'Day 37,866,866 220-931,"$42,000        "
1161,1990,1990 Jeanneau Voyage 11.20,888,888 457-229,"$40,000        "
1162,1983,1983 Endeavour 375 Sloop Plan B,941,941 914-921,"$39,900        "
1163,1979,1979 Tartan 37,585,585 339-973,"$39,900        "
1164,1983,1983 C & C 37,888,888 457-229,"$39,500        "
1165,1979,1979 Endeavour 37,866,866 271-195,"$38,900        "
1166,1987,1987 Hunter 37,941,941 914-921,"$38,900        "
1167,1969,1969 Santana 37,941,941 914-921,"$38,700        "
1168,1980,1980 Endeavour 37 Plan A,866,866 695-044,"$38,000        "
1169,1979,1979 Hunter 37' Cherubini Cutter,855,855 241-056,"$37,000        "
1170,1987,1987 Hunter Legend 37,941,941 914-921,"$36,000        "
1171,1977,1977 Irwin Yachts MK III 37 Center Cockpit Ketch,941,941 914-921,"$36,000        "
1172,1978,1978 Gulfstar 37 CS Sloop,866,866 729-252,"$34,900        "
1173,1987,1987 Hunter 37 Legend,888,888 452-892,"$34,900        "
1174,1981,1981 Seafarer Sloop,866,866 220-931,"$34,000        "
1175,1989,1989 Hunter 37,941,941 914-921,"$33,300        "
1176,1972,1972 WHITBY BOAT WORKS 37 Alberg MK II Yawl,941,941 914-921,"$32,800        "
1177,1984,1984 Hunter 37,866,866 220-931,"$32,000        "
1178,1984,1984 Hunter 37,941,941 914-921,"$30,000        "
1179,1983,1983 Pearson 37' Sloop,866,866 220-931,"$30,000        "
1180,1979,1979 Tayana 37,866,866 513-857,"$29,999        "
1181,1977,1977 Endeavour 37 Ketch,941,941 914-921,"$29,500        "
1182,1977,1977 Irwin 37 CC,877,877 564-174,"$29,500        "
1183,1981,1981 Island Trader 37 Ketch,941,941 914-921,"$29,500        "
1184,1978,1978 Irwin 37 Mk III Repowered,877,877 634-652,"$26,500        "
1185,1984,1984 Hunter 37 Cutter Rig,866,866 202-668,"$25,000        "
1186,1981,1981 C&C 37,877,877 564-970,"$24,000        "
1187,1983,1983 Endeavour 37 A plan,866,866 762-993,"$23,900        "
1188,1979,1979 Irwin Center Cockpit - Sloop,877,877 281-231,"$21,900        "
1189,1967,1967 Chris-Craft Apache,401,401 245-522,"$18,500        "
1190,1972,1972 Soverel 37,941,941 914-921,"$15,000        "
1191,1985,1985 Beneteau Idylle 11.50,855,855 258-831,"$14,995        "
1192,1982,1982 Spray Bruce Roberts Spray (soft chine),888,888 678-765,"$10,900        "
1193,1976,1976 Morgan 370 Out Island,941,941 914-921,"$9,900         "
1194,2011,2011 Fountaine Pajot Mahe,888,888 809-008,"$298,000       "
1195,2008,2008 Sabre 36,866,866 342-183,"$229,000       "
1196,1960,1960 Seawitch Ketch,888,888 429-060,"$225,000       "
1197,2008,2008 Sabre Spirit 36,877,877 409-066,"$219,000       "
1198,1998,1998 Hallberg-Rassy 36,201,201 985-809,"$189,900       "
1199,2005,2005 Prout 3600 Esprit,866,866 220-931,"$189,000       "
1200,2001,2001 Sabre 362,888,888 457-229,"$179,900       "
1201,2002,2002 PDQ Capella Classic Catamaran,888,888 341-072,"$169,000       "
1202,2003,2003 Dehler D36,888,888 452-892,"$155,000       "
1203,1999,1999 Moody Center Cockpit,866,866 271-195,"$149,000       "
1204,2007,2007 C & C 110,888,888 338-744,"$149,000       "
1205,1998,1998 Sabre 362,888,888 352-901,"$145,000       "
1206,2000,2000 Sabre 362,866,866 342-183,"$139,900       "
1207,1957,1957 Rhodes 363 Bermudian,941,941 914-921,"$138,900       "
1208,1993,1993 PDQ Capella,866,866 220-931,"$135,000       "
1209,2001,2001 Sabre 362,585,585 339-973,"$135,000       "
1210,2003,2003 C & C 110,888,888 596-426,"$134,000       "
1211,2006,2006 Beneteau First 36.7,877,877 533-659,"$129,900       "
1212,2005,2005 Hunter 36,877,877 564-356,"$129,900       "
1213,1991,1991 PDQ Capella Classic,866,866 220-931,"$129,000       "
1214,2008,2008 Hunter 36,866,866 930-978,"$126,900       "
1215,2008,"2008 Hunter 36 with Genset, Loaded! ",877,877 564-499,"$120,000       "
1216,1995,1995 J Boats J-110,877,877 273-039,"$119,900       "
1217,2006,2006 Hunter Sail Cruiser,866,866 563-969,"$119,900       "
1218,2006,2006 Beneteau First 36.7,310,310 821-588,"$119,000       "
1219,2001,2001 C&C 110,866,866 202-668,"$119,000       "
1220,2004,2004 Catalina 36 MKII,800,800 537-005,"$114,900       "
1221,2006,2006 Hunter 36,866,866 342-183,"$114,900       "
1222,2007,2007 Hunter 36,727,727 592-891,"$99,900        "
1223,2004,2004 Celebrity Concordia D36,866,866 342-183,"$99,800        "
1224,2002,2002 Catalina 36 MkII,866,866 271-195,"$99,736        "
1225,2005,2005 Hunter 36,888,888 457-229,"$99,500        "
1226,2002,2002 Beneteau 361,866,866 220-931,"$97,000        "
1227,2001,2001 Beneteau 361,888,888 457-229,"$96,900        "
1228,1986,1986 Gozzard 36 Cutter,888,8889YACHTS,"$95,500        "
1229,2004,2004 Hunter 36,888,888 518-007,"$95,000        "
1230,1983,1983 Macgregor 36,941,941 914-921,"$95,000        "
1231,2004,2004 Beneteau 361,888,888 457-229,"$95,000        "
1232,2002,2002 Catalina MK II,888,888 457-229,"$94,900        "
1233,2000,2000 Catalina MK II 36,866,866 476-577,"$94,900        "
1234,1989,1989 Roberts Offshore Cutter,888,888 573-425,"$94,900        "
1235,2005,2005 Beneteau First 36.7 shoal draft,888,888 221-278,"$94,500        "
1236,2001,2001 Beneteau 361,888,888 365-848,"$92,900        "
1237,2001,2001 Beneteau 361,888,888 365-848,"$92,500        "
1238,2002,2002 Beneteau 361,888,888 365-848,"$89,900        "
1239,2002,2002 Beneteau First 36.7,866,866 930-978,"$89,900        "
1240,2001,2001 Catalina 36 MkII,877,877 393-260,"$89,700        "
1241,2003,2003 Dufour 36 Classic,727,727 214-159,"$89,000        "
1242,2003,2003 Beneteau First 36.7,310,310 821-588,"$89,000        "
1243,2002,2002 Beneteau 361,888,888 676-442,"$89,000        "
1244,1982,1982 Cape Dory Cutter,866,866 536-237,"$89,000        "
1245,1999,1999 Catalina 36 MkII,888,888 522-279,"$89,000        "
1246,1999,1999 Catalina 36 MkII,866,866 271-195,"$88,500        "
1247,1999,1999 Catalina 36 MkII,888,888 676-442,"$88,400        "
1248,2001,2001 Dufour 36 Classic,888,888 221-278,"$88,250        "
1249,2003,2003 Beneteau First 36.7,843,843 576-235,"$88,000        "
1250,2003,2003 Beneteau First 36.7,888,888 457-229,"$85,000        "
1251,1999,1999 Catalina 36 MkII,866,866 728-560,"$84,995        "
1252,2003,2003 Hunter 356,888,888 452-892,"$84,900        "
1253,2003,2003 Beneteau First 36.7,888,888 457-229,"$82,900        "
1254,2003,2003 Hunter 356,866,866 347-928,"$82,900        "
1255,2003,2003 Bavaria Yachts USA 36,843,843 576-235,"$82,500        "
1256,1987,1987 Freedom 36 Modern Cat Sloop,866,866 342-183,"$79,900        "
1257,1978,1978 Kona 36 Cutter,877,877 502-133,"$79,000        "
1258,1999,1999 Beneteau 36,561,561 253-245,"$79,000        "
1259,1988,1988 Freedom ,888,888 677-635,"$79,000        "
1260,1997,1997 Catalina 36 MkII,888,888 452-892,"$78,900        "
1261,1985,1985 Sabre 36,941,941 914-921,"$76,600        "
1262,1995,1995 Catalina 36 MkII,252,252 444-180,"$76,000        "
1263,1998,1998 Jeanneau 36.2,888,888 452-892,"$75,900        "
1264,1997,1997 Beneteau 36s7,310,310 821-588,"$75,000        "
1265,1999,1999 Catalina Wing Keel Shoal Draft 36 Mk II,888,888 457-229,"$75,000        "
1266,2007,2007 Robert Perry Boomer 36 - Custom,877,877 564-174,"$75,000        "
1267,1990,1990 C&C 34 Plus,814,814 455-680,"$72,500        "
1268,1994,1994 Catalina Sloop,877,877 470-353,"$69,900        "
1269,1936,1936 Sam Crocker Ketch,877,877 564-970,"$69,000        "
1270,1998,1998 Catalina 36 MkII,310,310 821-588,"$69,000        "
1271,1990,1990 Catalina 36,941,941 914-921,"$66,000        "
1272,1981,1981 Cape Dory 36,888,888 457-229,"$65,000        "
1273,1987,1987 Freedom 36,814,814 455-680,"$64,900        "
1274,1990,1990 Pearson 36,888,888 457-229,"$64,900        "
1275,2000,2000 Beneteau 361,888,888 457-229,"$64,500        "
1276,1993,1993 Catalina 36 MK I,866,866 202-668,"$64,500        "
1277,1981,1981 Islander Yachts Freeport,949,949 430-201,"$62,900        "
1278,1990,1990 C&C 34 Plus,866,866 930-978,"$59,900        "
1279,1988,1988 Freedom Yachts FWC,866,866 342-183,"$59,900        "
1280,1989,1989 Catalina 36,888,888 676-442,"$59,500        "
1281,1984,1984 Nonsuch 36,888,888 669-845,"$57,900        "
1282,1989,1989 Catalina Catalina 36,877,877 588-656,"$57,900        "
1283,1985,1985 Pearson 36,888,888 676-442,"$57,500        "
1284,1985,1985 Catalina Sloop,562,562 437-750,"$57,500        "
1285,1991,1991 Hunter 36,919,919 602-406,"$54,900        "
1286,1990,1990 Catalina 36,727,727 592-891,"$54,000        "
1287,1994,1994 Hunter 35.5 Legend,888,888 630-492,"$52,900        "
1288,1989,1989 Catalina 36,877,877 502-133,"$50,000        "
1289,1977,1977 Niagra Nautilus Pilot House,877,877 564-970,"$49,900        "
1290,1986,1986 Sabre 36,866,866 342-183,"$49,900        "
1291,1977,1977 Hinterhoeller Niagara/Pilothouse 36,877,877 564-970,"$49,900        "
1292,1989,1989 Catalina 36,866,866 930-978,"$49,900        "
1293,1988,1988 Catalina 36,866,866 469-964,"$49,900        "
1294,1988,1988 Catalina 36,360,360 697-848,"$49,500        "
1295,1977,1977 Cabot 36 Cutter,877,877 502-133,"$49,500        "
1296,1987,1987 Catalina 36,855,855 208-444,"$49,500        "
1297,1982,1982 Canadian Sailcraft 36T,888,888 880-797,"$49,000        "
1298,1993,1993 Hunter Vision 36,888,888 630-492,"$47,900        "
1299,1980,1980 S2 11.0A,855,855 420-326,"$47,900        "
1300,1985,1985 Catalina 36,941,941 914-921,"$47,300        "
1301,1984,1984 Catalina C - 36,877,877 273-039,"$46,900        "
1302,1986,1986 Freedom Cat Ketch 36,866,866 513-857,"$45,500        "
1303,1978,1978 Tayana Mariner Ketch,877,877 533-659,"$45,000        "
1304,1989,1989 J Boats J/35 J35 J 35 J-35,877,877 564-499,"$44,950        "
1305,1994,1994 Hunter Legend 35.5,619,619 474-550,"$44,900        "
1306,1988,1988 Catalina 36,888,888 659-146,"$44,900        "
1307,1984,1984 Catalina 36,866,866 573-134,"$44,900        "
1308,1983,1983 Morgan Yacht Nelson Marek 36,866,866 695-044,"$44,900        "
1309,1977,1977 Allied Princess Ketch,866,866 728-560,"$44,000        "
1310,1984,1984 S2 11.0,888,888 596-426,"$43,500        "
1311,1984,1984 Catalina 36,855,855 420-326,"$42,900        "
1312,1986,1986 Catalina 36,877,877 564-055,"$42,900        "
1313,1977,1977 Allied Princess,888,888 285-357,"$41,000        "
1314,1985,1985 S 2 11.0C,866,866 292-809,"$39,900        "
1315,1981,1981 Pearson 365,877,877 634-652,"$39,900        "
1316,1988,1988 Catalina Sloop,877,877 502-133,"$39,900        "
1317,1992,1992 Reinke CUSTOM BUILD 11M,888,888 227-665,"$39,900        "
1318,1965,1965 Seafarer 36 Custom high cabin sloop,888,8889YACHTS,"$39,500        "
1319,1978,1978 Chien Hwa 36 Magellan,941,941 914-921,"$39,500        "
1320,1984,1984 Catalina 36 Standard Rig,231,231 526-622,"$39,500        "
1321,1979,1979 S2 Yachts 11.0 A,941,941 914-921,"$39,222        "
1322,1978,1978 Cabot 36,866,866 476-577,"$39,000        "
1323,1980,1980 S2 Yachts 11.0 Meter A,941,941 914-921,"$39,000        "
1324,1978,1978 C & C 360 Sailboat,941,941 914-921,"$37,800        "
1325,1992,1992 Beneteau First 35s5,843,843 576-235,"$37,500        "
1326,1981,1981 Canadian Sailcraft CS36T,888,888 596-426,"$36,900        "
1327,1984,1984 Catalina 36 Tall Rig,888,888 522-279,"$35,900        "
1328,1979,1979 Pearson 365 Pilothouse,386,386 255-074,"$35,000        "
1329,1983,1983 Catalina 36,585,585 339-973,"$35,000        "
1330,1979,1979 Pearson 365 Ketch,877,877 502-133,"$35,000        "
1331,1977,1977 Allied Princess,866,866 288-706,"$34,900        "
1332,1980,1980 Mariner 36 ketch,888,888 457-229,"$34,000        "
1333,1979,1979 Hunter 36,941,941 914-921,"$33,400        "
1334,1978,1978 Pearson 365 Sloop,866,866 573-134,"$33,000        "
1335,1988,1988 Collin Archer 36 Cutter,888,888 573-425,"$32,900        "
1336,1982,1982 Canadian Sailcraft 36,888,888 630-492,"$32,500        "
1337,1983,1983 Nelson Marek Cruising,888,888 596-426,"$32,000        "
1338,1983,1983 Catalina 36,888,888 365-848,"$31,900        "
1339,1977,1977 Allied Princess 36,941,941 914-921,"$31,900        "
1340,1977,1977 Peterson ,866,866 656-139,"$30,000        "
1341,1993,1993 Catalina Mark I,866,866 535-587,"$30,000        "
1342,1979,1979 Islander Atomic 4,888,888 596-426,"$29,995        "
1343,1980,1980 Hunter 36 sloop cherubini,888,888 630-492,"$29,900        "
1344,1984,1984 Lancer Boats 36 Sloop,941,941 914-921,"$29,900        "
1345,1982,1982 Watkins 36 CC,941,941 914-921,"$29,900        "
1346,1979,1979 Islander 36,888,888 221-278,"$29,900        "
1347,1977,1977 Allied 36 Princess  Ketch,866,866 342-183,"$29,900        "
1348,1973,1973 Pearson 36,585,585 339-973,"$29,900        "
1349,1975,1975 Cascade 36,941,941 914-921,"$29,000        "
1350,1970,1970 Cheoy Lee Luder's 36,877,877 502-133,"$29,000        "
1351,1979,1979 Canadian Sailcraft 36,888,888 573-425,"$27,400        "
1352,1978,1978 C&C 36,877,877 564-794,"$24,500        "
1353,1984,1984 Catalina 36,941,941 914-921,"$23,900        "
1354,1984,1984 Schock 36 Marine,954,954 242-651,"$23,500        "
1355,1969,1969 Columbia 36 Sloop,877,877 849-439,"$23,000        "
1356,1973,1973 Islander Sailboats 36,941,941 914-921,"$21,000        "
1357,1983,1983 Nelson Marek ,888,888 596-426,"$20,000        "
1358,1979,1979 C & C 36,941,941 914-921,"$20,000        "
1359,1973,1973 Easterly 33329,888,888 596-426,"$19,900        "
1360,1970,1970 Columbia 36 Sloop,877,877 533-659,"$19,700        "
1361,1978,1978 Triburon 36,941,941 914-921,"$19,500        "
1362,1979,1979 S2 Yachts 11.0A Racer / Cruiser,941,941 914-921,"$19,200        "
1363,1979,1979 Ta Yang Mariner,202,202 320-225,"$18,000        "
1364,1980,1980 Lancer Yacht 36 Sloop with dinghies,866,866 477-485,"$16,000        "
1365,1979,1979 C&C 36,877,877 393-260,"$14,900        "
1366,1970,1970 Columbia 36,941,941 914-921,"$12,500        "
1367,1976,1976 Dickinson Custom 36 Sloop,877,877 500-456,"$3,900         "
1368,2014,2014 X-Yachts Xc-35,860,860 536-777,"$290,650       "
1369,2010,2010 Seawind 1000 XL,866,866 202-668,"$260,000       "
1370,1998,1998 Fountaine Pajot Tobago 35,877,877 564-499,"$140,000       "
1371,2004,2004 J Boats J 109,800,800 633-717,"$139,000       "
1372,2003,2003 J Boats J 109,800,800 633-717,"$136,000       "
1373,1998,1998 Fountaine Pajot Tobago 35,888,888 630-492,"$128,900       "
1374,2005,2005 Catalina 350,877,877 470-353,"$119,900       "
1375,2001,2001 Tartan 3500,877,877 849-439,"$119,500       "
1376,1986,1986 1986 Lord Nelson Cutter,877,877 564-970,"$119,000       "
1377,2003,2003 Catalina 350,888,888 676-442,"$117,500       "
1378,2005,2005 Hunter 36,888,888 452-892,"$109,900       "
1379,1991,1991 Island Packet 35,843,843 576-235,"$109,000       "
1380,1989,1989 Island Packet Centerboard,866,866 271-195,"$99,900        "
1381,1990,1990 Island Packet Cutter,877,877 780-526,"$99,900        "
1382,1991,1991 Island Packet 35,866,866 728-560,"$89,900        "
1383,1999,1999 Charter Cats SA Wildcat Catamaran,888,888 573-425,"$89,900        "
1384,1997,1997 Freedom Yachts 35,866,866 476-577,"$89,900        "
1385,1992,1992 Island Packet Cutter,866,866 220-931,"$89,900        "
1386,1988,1988 Edel 35,941,941 914-921,"$86,900        "
1387,2003,2003 Hunter 356,888,888 457-229,"$84,900        "
1388,1995,1995 Nonsuch 354,866,866 271-195,"$84,500        "
1389,2003,2003 Hunter 356,877,877 634-652,"$83,900        "
1390,2002,2002 Hunter 356,888,888 524-338,"$79,900        "
1391,1995,1995 Beneteau Oceanis 351,562,562 437-750,"$78,900        "
1392,2003,2003 Hunter 356,866,866 220-931,"$78,500        "
1393,2002,2002 Hunter 356,941,941 914-921,"$75,000        "
1394,1985,1985 Maestro Yachts Finn 351,860,860 536-777,"$74,900        "
1395,1995,1995 Beneteau Oceanis 351,877,877 564-499,"$74,000        "
1396,1997,1997 Beneteau 351,888,888 457-229,"$69,500        "
1397,1982,1982 Southern Cross 35 Cruiser,941,941 914-921,"$69,400        "
1398,1986,1986 Beneteau Blue II Catamaran,619,619 319-013,"$65,000        "
1399,1995,1995 Freedom 35,800,800 537-005,"$64,500        "
1400,1978,1978 Bristol 35.5,888,888 457-229,"$60,000        "
1401,1983,1983 Contest 35 3JH5E,727,727 460-568,"$59,900        "
1402,1978,1978 Fantasia ,877,877 255-126,"$59,900        "
1403,1981,1981 Young Sun 35,941,941 914-921,"$57,500        "
1404,1995,1995 Hunter Legend 35.5,888,888 880-797,"$54,900        "
1405,1988,1988 J Boats J/35,888,888 522-279,"$53,000        "
1406,1994,1994 Hunter 35.5,888,888 221-278,"$52,000        "
1407,1994,1994 Hunter 35.5 Legend,941,941 914-921,"$50,000        "
1408,1991,1991 Beneteau 35S5,888,888 227-665,"$49,900        "
1409,1987,1987 C&C 35 MK III Centerboard,866,866 342-183,"$49,900        "
1410,1985,1985 Scanmar 35,866,866 342-183,"$49,900        "
1411,1983,1983 Ericson Mk-III,866,866 728-560,"$49,750        "
1412,1979,1979 Niagara 35,866,866 930-978,"$49,500        "
1413,2001,2001 Schock 35,888,888 457-229,"$49,500        "
1414,1986,1986 Goderich 35 Brewer Huromic Cutter,941,941 914-921,"$49,000        "
1415,1969,1969 Pearson Sloop,866,866 249-426,"$45,000        "
1416,1987,1987 Ericson 35,877,877 564-970,"$43,000        "
1417,1974,1974 Hallberg-Rassy Rasmus,310,310 821-588,"$41,000        "
1418,1985,1985 C&C 35 MK III,201,201 985-809,"$39,995        "
1419,1984,1984 Endeavour Sloop,877,877 445-530,"$39,900        "
1420,1974,1974 Hallberg-Rassy Rasmus,888,888 596-426,"$39,500        "
1421,1974,1974 Coronado ,866,866 477-588,"$39,000        "
1422,1973,1973 Camper & Nicholsons CN 35,888,888 678-765,"$38,000        "
1423,1965,1965 Allied Seabreeze Yawl,888,888 596-426,"$37,775        "
1424,1976,1976 Willard 30-8T Cutter,360,360 697-848,"$37,500        "
1425,1985,1985 C & C 35 MK III,877,877 899-220,"$36,995        "
1426,1977,1977 Fuji 35,866,866 513-857,"$35,000        "
1427,1988,1988 O'Day 35,888,888 457-229,"$34,900        "
1428,1990,1990 Hunter Legend 35.5,888,888 457-229,"$34,900        "
1429,1985,1985 CAL MK II,888,888 221-278,"$33,500        "
1430,1974,1974 Hallberg-Rassy Rasmus,877,877 564-055,"$33,000        "
1431,1982,1982 CAL Cal 35,866,866 769-908,"$31,900        "
1432,1976,1976 Ta Yang Yachts Fantasia 35,941,941 914-921,"$31,900        "
1433,1983,1983 C & C 34 Landfall,941,941 914-921,"$31,700        "
1434,1974,1974 North Star 1500,941,941 914-921,"$30,600        "
1435,1985,1985 KIWI 35 Ventura Racer,941,941 914-921,"$30,000        "
1436,1981,1981 Pearson 35,888,888 457-229,"$29,995        "
1437,1975,1975 Fuji Ketch,866,866 970-144,"$29,900        "
1438,1964,1964 Cheoy Lee Lion,561,561 253-245,"$29,900        "
1439,1984,1984 C&C Landfall,888,888 524-338,"$29,900        "
1440,1981,1981 Pearson 35 Centerboard Sloop,585,585 339-973,"$29,900        "
1441,1978,1978 Pearson P35,888,888 669-845,"$29,900        "
1442,1987,1987 O'Day Sloop,866,866 536-237,"$29,900        "
1443,1981,1981 Niagara 35,888,888 758-266,"$27,900        "
1444,1982,1982 Allmand 35' Tri-cabin,562,562 437-750,"$26,900        "
1445,1988,1988 Schock 35,866,866 513-857,"$26,500        "
1446,1977,1977 Ericson 35 MKII,360,360 697-848,"$26,250        "
1447,1974,1974 Chris-Craft 350 Caribbean Ketch,941,941 914-921,"$25,900        "
1448,1986,1986 Schock 35,941,941 914-921,"$25,000        "
1449,1974,1974 C&C 35 MK-II,866,866 476-577,"$25,000        "
1450,1982,1982 C & C Landfall,866,866 769-908,"$24,900        "
1451,1971,1971 Pearson Pearson 35,917,917 892-775,"$23,000        "
1452,1974,1974 C&C MK II,877,877 657-244,"$21,500        "
1453,1971,1971 Morgan Sloop,877,877 564-794,"$21,500        "
1454,1968,1968 Pearson 35,866,866 249-425,"$21,500        "
1455,1996,1996 Departure Custom Steel,888,888 221-278,"$20,000        "
1456,1967,1967 Pearson Alberg 35,941,941 914-921,"$20,000        "
1457,1975,1975 Ericson 35 ERICSON  34' 6,866,866 455-046,"$19,200        "
1458,1973,1973 Camper & Nicholsons 35 CN,941,941 914-921,"$19,000        "
1459,1974,1974 C&C MK II,877,877 657-244,"$19,000        "
1460,1976,1976 Pearson 35,941,941 914-921,"$18,000        "
1461,1964,1964 Chris Craft Sail Yacht 35,231,231 526-622,"$18,000        "
1462,1973,1973 CAL 35 Pilothouse,866,866 263-993,"$17,500        "
1463,1978,1978 Irwin Citation 34,949,949 430-201,"$15,900        "
1464,1978,1978 Dufour dufour 35,860,860 228-029,"$15,000        "
1465,1991,1991 Beneteau Oceanis 370,855,855 258-831,"$14,995        "
1466,1978,1978 Columbia 35 Sloop,866,866 537-507,"$12,900        "
1467,2007,2007 Elan Impression 344,866,866 476-577,"$135,000       "
1468,2006,2006 Gemini 105M,866,866 202-668,"$133,000       "
1469,2007,2007 Gemini 105 MC,888,888 457-229,"$129,800       "
1470,2008,2008 Gemini 105 MC Catamaran,888,888 573-425,"$127,500       "
1471,2002,2002 Gemini 105 MC Catamaran,941,941 914-921,"$125,000       "
1472,2009,2009 Beneteau Oceanis 34,866,866 930-978,"$119,900       "
1473,2007,2007 Beneteau First 10R,949,949 791-422,"$119,777       "
1474,2007,2007 Catalina 34 MkII,510,510 521-132,"$118,000       "
1475,2006,2006 Catalina MkII 34 MkII,877,877 564-499,"$115,000       "
1476,2008,2008 Beneteau 343,888,888 457-229,"$107,500       "
1477,2007,2007 Beneteau 343,888,888 457-229,"$107,000       "
1478,2007,2007 Beneteau 343 (JFR),877,877 430-803,"$106,000       "
1479,2007,2007 Beneteau 343 Sloop,866,866 469-964,"$105,900       "
1480,2005,2005 Beneteau 343,888,888 365-848,"$104,900       "
1481,2004,2004 Gemini 105Mc,888,888 221-278,"$99,990        "
1482,2003,2003 Catalina 34 MkII,866,866 220-931,"$99,000        "
1483,1997,1997 Performance Cruising 105M,619,619 319-013,"$98,500        "
1484,1996,1996 Gemini 105M,877,877 564-499,"$95,000        "
1485,2007,2007 Beneteau 343,888,888 457-229,"$94,500        "
1486,2003,2003 Catalina 34 MkII,510,510 521-132,"$93,500        "
1487,1990,1990 Cabo Rico 34 Cutter,888,888 669-845,"$92,900        "
1488,1992,1992 Pacific Seacraft Crealock,877,877 564-055,"$89,500        "
1489,1997,1997 Gemini 105M,877,877 502-133,"$89,500        "
1490,1997,1997 Gemini 105,562,562 437-750,"$89,500        "
1491,2002,2002 J Boat 105,877,877 564-794,"$88,900        "
1492,2005,2005 Beneteau 343,800,800 537-005,"$87,500        "
1493,2002,2002 Catalina 34 MkII,877,877 502-133,"$84,900        "
1494,1993,1993 C&C 34,866,866 342-183,"$83,900        "
1495,1998,1998 Catalina MK II Sloop,877,877 780-526,"$80,000        "
1496,2000,2000 Gemini Catamaran 105M CRUISING SAILBOAT,888,888 465-572,"$79,995        "
1497,2003,2003 Catalina 34 MkII,866,866 342-183,"$79,900        "
1498,2001,2001 Catalina 34 MkII,866,866 342-183,"$79,900        "
1499,1997,1997 Gemini 105M,877,877 502-133,"$79,900        "
1500,1997,1997 Catalina 34,120,12062820110,"$79,000        "
1501,2001,2001 Catalina 34,866,866 220-931,"$79,000        "
1502,2000,2000 Catalina 34 Mark II,631,631 963-448,"$78,900        "
1503,1994,1994 Prout Event 34,888,888 341-072,"$76,000        "
1504,2000,2000 Hunter 340,888,888 630-492,"$69,999        "
1505,1998,1998 Catalina 34 MkII,888,888 281-430,"$69,500        "
1506,1998,1998 Hunter 340,941,941 914-921,"$67,000        "
1507,1999,1999 Jeanneau 342,941,941 914-921,"$64,900        "
1508,2001,2001 Hunter 340,888,888 457-229,"$63,900        "
1509,1998,1998 Hunter 340,888,888 452-892,"$63,500        "
1510,2000,2000 Hunter 34,888,888 387-229,"$62,100        "
1511,1987,1987 Ericson Sloop,866,866 342-183,"$61,800        "
1512,1999,1999 Hunter 340,888,888 452-892,"$59,900        "
1513,2000,2000 Hunter 340,252,252 444-180,"$59,900        "
1514,2001,2001 Hunter 340,866,866 220-931,"$59,900        "
1515,1987,1987 Sabre MKII Shoal/CB,877,877 273-039,"$57,900        "
1516,1994,1994 J Boats J105 Hull 97,941,941 914-921,"$55,600        "
1517,1989,1989 Catalina 34 MK II Wing Keel,877,877 273-039,"$54,900        "
1518,1983,1983 Sea Sprite 34 Cutter Rig,877,877 273-039,"$54,900        "
1519,1996,1996 Hunter 33.6,888,888 573-425,"$52,500        "
1520,1981,1981 Sea Sprite 34,888,888 281-430,"$49,900        "
1521,1997,1997 Hunter 340,866,866 930-978,"$49,900        "
1522,1990,1990 Catalina 34 Sloop,877,877 655-300,"$49,000        "
1523,1991,1991 Catalina 34,855,855 208-444,"$48,900        "
1524,1990,1990 Catalina 34,888,888 365-848,"$48,900        "
1525,1984,1984 Hunter 34,888,888 630-492,"$47,900        "
1526,1987,1987 Catalina 34,866,866 513-857,"$46,000        "
1527,1989,1989 Catalina 34,941,941 914-921,"$45,990        "
1528,1984,1984 Aloha 10.4 Sloop,386,386 255-074,"$45,000        "
1529,1981,1981 C.E. Ryder Sea Sprite,888,888 281-430,"$45,000        "
1530,1990,1990 J Boats J34C,888,888 678-765,"$44,700        "
1531,1985,1985 Beneteau 345,866,866 202-668,"$44,500        "
1532,1966,1966 Morgan 34 Cb,201,201 985-809,"$42,500        "
1533,1988,1988 Catalina 34,310,310 821-588,"$42,000        "
1534,1976,1976 CAL MK II,866,866 728-560,"$39,995        "
1535,1981,1981 C&C 34 Plus,866,866 513-857,"$39,995        "
1536,1997,1997 Hunter 336,888,888 573-425,"$39,900        "
1537,1985,1985 Tartan 34-2,941,941 914-921,"$39,900        "
1538,1984,1984 Pearson 34 SHOAL DRAFT,888,888 457-229,"$39,900        "
1539,1971,1971 Columbia 34 Mark II,941,941 914-921,"$39,000        "
1540,1970,1970 Columbia 34 MKII,941,941 914-921,"$38,900        "
1541,1987,1987 Beneteau First 345,888,888 452-892,"$38,900        "
1542,1986,1986 Beneteau First 345,585,585 339-973,"$38,900        "
1543,1987,1987 Catalina 34,941,941 914-921,"$38,900        "
1544,1985,1985 Westerly Seahawk 34,941,941 914-921,"$38,000        "
1545,1985,1985 Hunter 34,877,877 899-220,"$37,995        "
1546,1985,1985 Beneteau First Class 10,888,888 457-229,"$37,000        "
1547,1986,1986 Beneteau. 345,866,866 220-931,"$36,900        "
1548,1987,1987 Dehler 34,866,866 202-668,"$36,900        "
1549,1988,1988 Catalina 34,888,888 281-267,"$36,900        "
1550,1986,1986 Hunter Sloop,360,360 697-848,"$35,900        "
1551,1987,1987 Catalina 34,866,866 292-809,"$35,000        "
1552,1976,1976 Cal/Jensen CAL 34 MK-III,360,360 697-848,"$34,950        "
